Run dir: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/runs/probe_K_anchor8_20260529T033755Z
Reference: claude-opus-4.5 (anchored at 8/10 on every axis)
Calibrated evaluator prompt: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/prompts/evaluator_calibrated.md (5,512 chars template)
Evaluators: 12; Targets: 11; Total pairs: 132
Max parallel: 8

  ok  gpt-41-nano on gpt-4o-mini: 12.3s, comp=2503, chars=12257, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-41-mini: 9.7s, comp=2231, chars=10636, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-41-nano: 9.8s, comp=1985, chars=9640, finish=stop, json=parsed
  ok  gpt-4o on gemini-3.1-pro: 11.3s, comp=1999, chars=9508, finish=stop, json=parsed
  ok  gpt-4o on claude-opus-4.1: 13.7s, comp=2303, chars=11316, finish=stop, json=parsed
  ok  gpt-4o on gemini-2.5-flash: 14.4s, comp=2176, chars=10277, finish=stop, json=parsed
  ok  gpt-4o on claude-opus-4.0: 14.0s, comp=2487, chars=12273, finish=stop, json=parsed
  ok  gpt-4o on gpt-4o: 12.1s, comp=2106, chars=9435, finish=stop, json=parsed
  ok  gpt-4o on gpt-41-2025-04-14: 12.4s, comp=2074, chars=9528, finish=stop, json=parsed
  ok  gpt-4o on claude-sonnet-4: 14.6s, comp=2246, chars=10546, finish=stop, json=parsed
  ok  gpt-4o on gpt-4o-2024-08-06: 10.1s, comp=2114, chars=10005, finish=stop, json=parsed
  ok  gpt-4o on gpt-4o-mini: 15.9s, comp=2170, chars=10271, finish=stop, json=parsed
  ok  gpt-4o on gpt-41-nano: 10.2s, comp=2318, chars=10952, finish=stop, json=parsed
  ok  gpt-4o on gpt-41-mini: 10.8s, comp=2304, chars=10860, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gemini-3.1-pro: 12.3s, comp=2052, chars=9088, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on claude-sonnet-4: 9.9s, comp=2060, chars=10117, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on claude-opus-4.1: 14.1s, comp=2222, chars=10752, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-41-2025-04-14: 8.8s, comp=2040, chars=9411, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gemini-2.5-flash: 16.7s, comp=2385, chars=11517, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-4o-mini: 10.9s, comp=2227, chars=10886, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on claude-opus-4.0: 18.1s, comp=2934, chars=14690, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-4o: 14.4s, comp=2119, chars=9869, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-41-nano: 9.8s, comp=2165, chars=10645, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-41-mini: 13.7s, comp=1909, chars=8707, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-4o-2024-08-06: 21.7s, comp=2027, chars=9161, finish=stop, json=parsed
  ok  gpt-4o-mini on gemini-2.5-flash: 24.2s, comp=2890, chars=14962, finish=stop, json=parsed
  ok  gpt-4o-mini on claude-sonnet-4: 21.1s, comp=2507, chars=12953, finish=stop, json=parsed
  ok  gpt-4o-mini on claude-opus-4.0: 22.1s, comp=2750, chars=13603, finish=stop, json=parsed
  ok  gpt-4o-mini on claude-opus-4.1: 28.8s, comp=2652, chars=13155, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-4o: 23.6s, comp=2914, chars=14216, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-41-2025-04-14: 24.4s, comp=2962, chars=15091, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-4o-mini: 22.0s, comp=2649, chars=13356, finish=stop, json=parsed
  ok  gpt-4o-mini on gemini-3.1-pro: 41.7s, comp=3055, chars=15710, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-41-nano: 18.1s, comp=2380, chars=12365, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-41-mini: 20.6s, comp=2503, chars=12160, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-4o-2024-08-06: 23.3s, comp=2849, chars=14341, finish=stop, json=parsed

Wrote /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/runs/probe_K_anchor8_20260529T033755Z/run_info.json
Summary: 132/132 succeeded, 130/132 produced parseable JSON.
