Run dir: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/runs/probe_K_anchor5_20260529T030442Z
Reference: claude-opus-4.5 (anchored at 5/10 on every axis)
Calibrated evaluator prompt: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/prompts/evaluator_calibrated.md (5,512 chars template)
Evaluators: 12; Targets: 11; Total pairs: 132
Max parallel: 8

  ok  gpt-4o-2024-08-06 on gemini-2.5-flash: 11.7s, comp=2522, chars=12128, finish=stop, json=parsed
  ok  gpt-4o on gpt-41-mini: 20.3s, comp=2164, chars=10223, finish=stop, json=parsed
  ok  gpt-4o on gpt-41-nano: 19.3s, comp=2200, chars=10416, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on claude-sonnet-4: 11.5s, comp=1833, chars=8765, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on claude-opus-4.1: 14.0s, comp=2251, chars=10997, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on claude-opus-4.0: 14.4s, comp=2387, chars=11676, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-4o: 11.7s, comp=1878, chars=8520, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-4o-mini: 13.9s, comp=2191, chars=10353, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-41-2025-04-14: 21.8s, comp=2082, chars=9324, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-4o-2024-08-06: 22.2s, comp=2112, chars=9675, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-41-nano: 21.4s, comp=2329, chars=11299, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-41-mini: 24.1s, comp=2114, chars=10116, finish=stop, json=parsed
  ok  gpt-4o-mini on gemini-3.1-pro: 27.1s, comp=2804, chars=14017, finish=stop, json=parsed
  ok  gpt-4o-mini on gemini-2.5-flash: 26.8s, comp=2776, chars=14019, finish=stop, json=parsed
  ok  gpt-4o-mini on claude-opus-4.1: 28.8s, comp=2960, chars=14899, finish=stop, json=parsed
  ok  gpt-4o-mini on claude-opus-4.0: 23.0s, comp=2693, chars=13267, finish=stop, json=parsed
  ok  gpt-4o-mini on claude-sonnet-4: 25.7s, comp=2765, chars=13882, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-41-2025-04-14: 25.3s, comp=3080, chars=15513, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-41-nano: 18.1s, comp=2268, chars=11588, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-4o-mini: 27.2s, comp=2637, chars=13607, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-4o: 34.3s, comp=3064, chars=15081, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-41-mini: 29.6s, comp=3088, chars=15836, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-4o-2024-08-06: 30.4s, comp=3166, chars=16064, finish=stop, json=parsed

Wrote /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/runs/probe_K_anchor5_20260529T030442Z/run_info.json
Summary: 132/132 succeeded, 132/132 produced parseable JSON.
