Run dir: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/runs/probe_K_20260529T014133Z
Reference: claude-opus-4.5 (anchored at 7/10 on every axis)
Calibrated evaluator prompt: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/prompts/evaluator_calibrated.md (5,373 chars template)
Evaluators: 12; Targets: 11; Total pairs: 132
Max parallel: 8

  ok  gpt-41-2025-04-14 on gpt-41-2025-04-14: 18.2s, comp=2457, chars=10863, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-4o-2024-08-06: 13.8s, comp=2968, chars=13568, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-41-nano: 15.4s, comp=2198, chars=10104, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-41-mini: 18.3s, comp=2686, chars=12424, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-4o-mini: 28.1s, comp=2427, chars=11348, finish=stop, json=parsed
  ok  gpt-41-mini on gemini-2.5-flash: 30.3s, comp=2753, chars=13150, finish=stop, json=parsed
  ok  gpt-41-mini on gemini-3.1-pro: 31.1s, comp=2724, chars=13210, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-4o: 24.9s, comp=2351, chars=10915, finish=stop, json=parsed
  ok  gpt-41-mini on claude-opus-4.1: 38.3s, comp=2754, chars=13533, finish=stop, json=parsed
  ok  gpt-41-mini on claude-sonnet-4: 31.0s, comp=2922, chars=14538, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-41-2025-04-14: 25.4s, comp=2349, chars=11538, finish=stop, json=parsed
  ok  gpt-41-nano on gemini-3.1-pro: 3.8s, comp=656, chars=3345, finish=stop, json=err
  ok  gpt-41-nano on claude-opus-4.0: 3.5s, comp=656, chars=3157, finish=stop, json=err
  ok  gpt-41-nano on gemini-2.5-flash: 7.3s, comp=1818, chars=8358, finish=stop, json=parsed
  ok  gpt-41-mini on claude-opus-4.0: 42.3s, comp=3270, chars=16222, finish=stop, json=parsed
  ok  gpt-41-nano on claude-opus-4.1: 10.7s, comp=2274, chars=10785, finish=stop, json=parsed
  ok  gpt-41-nano on claude-sonnet-4: 7.5s, comp=1712, chars=8257, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-4o-mini: 34.5s, comp=2695, chars=13408, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-4o: 9.2s, comp=2144, chars=9906, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-41-2025-04-14: 8.7s, comp=1970, chars=9334, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-4o-mini: 9.5s, comp=2343, chars=11491, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-4o-2024-08-06: 9.5s, comp=2054, chars=9248, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-41-nano: 27.7s, comp=2153, chars=10281, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-4o-2024-08-06: 36.3s, comp=2629, chars=12700, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-41-mini: 11.5s, comp=2471, chars=11675, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-41-nano: 11.4s, comp=2399, chars=11819, finish=stop, json=parsed
  ok  gpt-4o on gemini-3.1-pro: 15.3s, comp=2266, chars=10783, finish=stop, json=parsed
  ok  gpt-4o on gemini-2.5-flash: 13.6s, comp=2121, chars=10023, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-41-mini: 44.6s, comp=3252, chars=15743, finish=stop, json=parsed
  ok  gpt-4o on claude-opus-4.1: 11.7s, comp=1956, chars=8742, finish=stop, json=parsed
  ok  gpt-4o on claude-sonnet-4: 12.6s, comp=1964, chars=9161, finish=stop, json=parsed
  ok  gpt-4o on gpt-4o: 13.5s, comp=2397, chars=11596, finish=stop, json=parsed
  ok  gpt-4o on claude-opus-4.0: 19.0s, comp=2708, chars=13349, finish=stop, json=parsed
  ok  gpt-4o on gpt-41-2025-04-14: 18.8s, comp=2170, chars=10126, finish=stop, json=parsed
  ok  gpt-4o on gpt-4o-mini: 14.4s, comp=2313, chars=11113, finish=stop, json=parsed
  ok  gpt-4o on gpt-4o-2024-08-06: 13.4s, comp=1938, chars=8461, finish=stop, json=parsed
  ok  gpt-4o on gpt-41-mini: 14.3s, comp=2119, chars=9731, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gemini-3.1-pro: 11.6s, comp=2051, chars=9673, finish=stop, json=parsed
  ok  gpt-4o on gpt-41-nano: 17.6s, comp=2252, chars=10699, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gemini-2.5-flash: 13.9s, comp=2194, chars=10476, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on claude-opus-4.1: 13.8s, comp=2462, chars=12298, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-4o: 12.1s, comp=2177, chars=10061, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-41-2025-04-14: 13.9s, comp=2126, chars=9816, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on claude-sonnet-4: 15.4s, comp=2453, chars=12201, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-4o-2024-08-06: 10.7s, comp=1803, chars=7818, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-41-mini: 9.9s, comp=1998, chars=9023, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on claude-opus-4.0: 18.3s, comp=2589, chars=12480, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-4o-mini: 19.6s, comp=2193, chars=10455, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-41-nano: 18.8s, comp=2242, chars=10637, finish=stop, json=parsed
  ok  gpt-4o-mini on gemini-3.1-pro: 23.1s, comp=2778, chars=14146, finish=stop, json=parsed
  ok  gpt-4o-mini on claude-sonnet-4: 20.7s, comp=2503, chars=12373, finish=stop, json=parsed
  ok  gpt-4o-mini on claude-opus-4.0: 24.5s, comp=2964, chars=15022, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-4o: 25.3s, comp=2918, chars=14579, finish=stop, json=parsed
  ok  gpt-4o-mini on claude-opus-4.1: 28.9s, comp=2826, chars=13825, finish=stop, json=parsed
  ok  gpt-4o-mini on gemini-2.5-flash: 33.9s, comp=3218, chars=17081, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-4o-mini: 21.5s, comp=3006, chars=15904, finish=stop, json=missing
  ok  gpt-4o-mini on gpt-41-2025-04-14: 33.0s, comp=2854, chars=14463, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-41-mini: 21.8s, comp=2438, chars=12233, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-41-nano: 24.2s, comp=2294, chars=11979, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-4o-2024-08-06: 30.0s, comp=2814, chars=13757, finish=stop, json=parsed

Wrote /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/runs/probe_K_20260529T014133Z/run_info.json
Summary: 132/132 succeeded, 129/132 produced parseable JSON.
